price,odometer,state,lat,long,Odometer_Price_Ratio,Man_dep_OP,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,type_freq,manufacturer_freq,paint_color_freq,car_age_freq,cylinders_freq,cluster
37884,77429,vt,47.381236,-94.666852,2.0438443670150988,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0477255464596168,0.2726109095000985,1
24986,102944,vt,47.381236,-94.666852,4.120067237653085,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0477255464596168,0.3593974175035868,1
32897,26553,vt,47.381236,-94.666852,0.807155667690063,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0348552620474301,0.1393225869974962,0.1820266126536698,0.0477255464596168,0.3593974175035868,1
14997,66354,vt,47.381236,-94.666852,4.424484896979396,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.003207021689594,0.2726109095000985,1
33367,59040,vt,47.381236,-94.666852,1.769412892978092,22.32838356869077,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0134751174501364,0.0342644948940838,0.0356007539314147,0.347399217936816,1
21624,108601,vt,47.381236,-94.666852,5.02224380318165,22.32838356869077,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0134751174501364,0.0241651897487833,0.0477255464596168,0.3593974175035868,1
16986,127452,vt,47.381236,-94.666852,7.503355704697986,35.04687275675114,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0107322699524573,0.0241651897487833,0.0707935972093285,0.3593974175035868,1
24972,56755,vt,47.381236,-94.666852,2.272745474931924,22.32838356869077,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.2894196416012603,0.0134751174501364,0.1207978169747095,0.0456578614229048,0.347399217936816,1
3800,169938,va,37.13284,-95.78558,44.72052631578947,29.61564827359148,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.259515570934256,0.1721242298928179,0.1515458407179227,0.0462064309224407,0.347399217936816,1
32200,66417,va,37.13284,-95.78558,2.062639751552795,31.87811834220981,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.0915548428840689,0.1515458407179227,0.0456578614229048,0.3593974175035868,1
12995,144000,va,37.073571,-95.685949,11.081185071181224,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0274284749767912,0.1721242298928179,0.2232818521956845,0.0639716431766393,0.2726109095000985,1
7495,55101,wi,43.961981,-91.27339,7.351701134089393,26.38977874398792,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.2232818521956845,0.0356007539314147,0.347399217936816,1
14999,138780,wi,47.410882,-92.937126,9.25261684112274,29.61564827359148,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1721242298928179,0.0062030551101358,0.059386164795904,0.347399217936816,1
900,255000,wi,44.9369,-91.3929,283.3333333333333,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.1721242298928179,0.0241651897487833,0.0534222297240273,0.3593974175035868,1
19495,108250,wi,44.797164,-91.462555,5.552705822005643,31.87811834220981,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.0915548428840689,0.1515458407179227,0.0579936422201592,0.3593974175035868,1
24900,44000,wi,44.5985,-91.4804,1.7670682730923697,26.38977874398792,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.1820266126536698,0.0456578614229048,0.3593974175035868,1
6995,156036,wi,44.902943,-91.925225,22.306790564689063,25.49294327137502,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.2894196416012603,0.0283286915914141,0.1515458407179227,0.0602160519875095,0.347399217936816,1
8600,164200,wi,44.784,-91.4877,19.09302325581396,33.24576176710301,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0650828480603145,0.1119644414437223,0.0579936422201592,0.347399217936816,1
36995,103173,wi,45.301088,-92.970836,2.78883632923368,29.61564827359148,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.023982333248938,0.2726109095000985,1
1850,170000,wi,44.6947,-91.1232,91.89189189189187,26.513447128918784,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0330126311643739,0.0035164711508706,0.0239401355951275,0.2726109095000985,1
1200,138000,wi,45.310586,-91.643736,115.0,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.1721242298928179,0.1820266126536698,0.0144456634877767,0.3593974175035868,1
15999,89000,wi,44.834,-91.483,5.562847677979874,25.93816278841862,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.2894196416012603,0.0275128702844121,0.1820266126536698,0.0707935972093285,0.3593974175035868,1
